b100k_0;2362;788978824
b100k_1;2424;370292557
b100k_2;2790;185658234
b100k_3;2453;510730847
b100k_4;2336;158743728
b100k_5;2399;210916129
b100k_6;2335;141506273
b100k_7;2576;130761239
b100k_8;2401;135813783
b100k_9;2595;148734630
b100_0;176;278919
b100_1;183;249941
b100_2;179;278919
b100_3;189;217339
b100_4;166;191379
b100_5;172;379137
b100_6;176;195606
b100_7;162;184739
b100_8;162;212510
b100_9;179;222170
b10k_0;2481;14785138
b10k_1;2557;14159683
b10k_2;2717;14628171
b10k_3;2430;14089651
b10k_4;2479;14413246
b10k_5;2528;14524935
b10k_6;2488;12903338
b10k_7;2436;13437029
b10k_8;2746;13181655
b10k_9;2539;13196144
b1k_0;1205;1269626
b1k_1;1086;1304642
b1k_2;1195;1256344
b1k_3;1247;1287738
b1k_4;1210;1307057
b1k_5;1270;1252118
b1k_6;1189;1320339
b1k_7;1061;1286530
b1k_8;1016;1474288
b1k_9;1104;1266004
b500_0;670;820458
b500_1;556;665905
b500_2;687;770952
b500_3;626;640549
b500_4;732;612174
b500_5;618;616399
b500_6;652;621230
b500_7;617;709372
b500_8;587;619418
b500_9;670;632700
b50k_0;2463;68756630
b50k_1;2800;75084838
b50k_2;2777;68234410
b50k_3;2666;68657015
b50k_4;2149;65526116
b50k_5;2198;67300453
b50k_6;2045;68331006
b50k_7;2673;66978670
b50k_8;2456;66490863
b50k_9;2464;75081216
b5k_0;2282;6575734
b5k_1;2282;6552189
b5k_2;1970;6648784
b5k_3;2072;7589383
b5k_4;2096;6614976
b5k_5;1798;6506910
b5k_6;2062;6531058
b5k_7;1968;6805148
b5k_8;2114;6587809
b5k_9;2313;6750209
